Account Type,Fund,Department,Business Unit,Account Classification,Account Code And Description,2019 Adopted Budget,2020 Adopted Budget,2021 Projected Budget,Fund Number,Department Number,Business Unit Number
Revenues,GENERAL FUND,CITY CLERK,CITY CLERK,Other Revenue,56045 MISCELLANEOUS REVENUE,500,500,500,100,14,1400
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,PUBLIC INFORMATION,"Licenses, Permits and Fees",52180 CABLE FRANCHISE FEE,"1,000,000","950,000","950,000",100,15,1510
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,PUBLIC INFORMATION,"Licenses, Permits and Fees",52181 PEG FEES - CABLE COMPANIES,"145,000","145,000","145,000",100,15,1510
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Property Taxes,51015 PROPERTY TAXES,"11,845,304","9,495,300","9,495,300",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51515 STATE USE TAX,"2,000,000","2,100,000","2,100,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51525 SALES TAX - BASIC,"10,250,000","10,250,000","10,250,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51530 SALES TAX - HOME RULE,"6,300,000","7,800,000","7,800,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51535 AUTO RENTAL TAX,"55,000","55,000","55,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51536 TRANSPORTATION NETWORK PROVIDER TAX,"680,000","680,000","680,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51540 ATHLETIC CONTEST TAX,"1,080,000","1,160,000","1,160,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51545 STATE INCOME TAX,"7,210,000","7,600,000","7,600,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51565 ELECTRIC UTILITY TAX,"2,920,000","2,920,000","2,920,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51570 NATURAL GAS UTILITY TAX,"1,100,000","1,100,000","1,100,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51575 NAT GAS USE TAX HOME RULE,"900,000","900,000","900,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51585 CIGARETTE TAX,"250,000","250,000","250,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51590 EVANSTON MOTOR FUEL TAX,"1,225,000","1,300,000","1,300,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51595 LIQUOR TAX,"3,150,000","3,150,000","3,150,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51600 PARKING TAX,"3,450,000","3,200,000","3,200,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51605 PERSONAL PROPERTY REPLACEMENT TAX,"800,000","750,000","750,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51610 PERS PROP REPL TAX RECREATION,"46,300",0,0,100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51620 REAL ESTATE TRANSFER TAX,"4,150,000","3,800,000","3,800,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,51625 TELECOMMUNICATIONS TAX,"1,920,000","1,800,000","1,700,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Taxes,52010 WHEEL TAX,"2,875,000","3,000,000","2,900,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52020 PET LICENSES,"28,000","10,000","10,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52130 RESIDENTS ANNUAL PARKING PERMITS,"228,000","228,000","228,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52131 VISITOR PARKING PERMITS,"13,000","13,000","13,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52146 MOVING VAN PERMIT FEES,"57,000","57,000","57,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52175 NU EASEMENT,"47,000","47,000","47,000",100,15,1560
